trip_id,transport_mode,mode_type,distance_km,trip_duration_minutes,average_speed_kmph,estimated_cost_inr,city,day_of_week,season,seasonal_factor,ef_baseline,ef_actual,emission_difference,time_period,peak_factor,traffic_condition,traffic_multiplier,recency_weight,time_weight,weather_condition,weather_factor,route_type,route_factor,load_factor,aqi_level,aqi_factor,context_factor,carbon_credits_earned,user_age,user_income_bracket,trip_purpose,timestamp
T001,petrol_car,private,19.35,22.1,52.5,116.1,Hyderabad,Monday,Post-Monsoon,1,0.13,0.13,0,late_night,0.8,moderate,1.1,1,0.88,light_rain,1.1,highway,0.9,0.95,very_poor,1.1,1.035,0,53,low,business,28-04-2025 19:06
T002,petrol_car,private,15.91,39.8,24,95.46,Pune,Sunday,Summer,1.1,0.13,0.13,0,off_peak,1,moderate,1.1,1,1.1,normal,1,city_center,1.2,1,hazardous,1.2,1.44,0,44,medium,shopping,16-08-2025 19:06
T003,petrol_car,private,34.34,90.4,22.8,206.04,Mumbai,Tuesday,Monsoon,1.2,0.13,0.13,0,peak_evening,1.2,heavy,1.3,1,1.56,normal,1,suburban,1,1,very_poor,1.1,1.1,0,44,medium,business,04-10-2025 19:06
T004,petrol_car,private,21.83,32.2,40.7,130.98,Chennai,Monday,Summer,1.1,0.13,0.13,0,peak_morning,1.2,moderate,1.1,1,1.32,favorable,0.95,hilly,1.3,0.95,very_poor,1.1,1.291,0,21,medium,commute,16-07-2025 19:06
T005,petrol_car,private,27.44,68.7,23.9,164.64,Ahmedabad,Friday,Monsoon,1.2,0.13,0.13,0,off_peak,1,light,1,1,1,light_rain,1.1,highway,0.9,1.1,very_poor,1.1,1.198,0,18,low,leisure,01-10-2025 19:06
T006,diesel_car,private,46.39,101.7,27.4,231.95,Bangalore,Wednesday,Winter,0.95,0.13,0.117,0.013,off_peak,1,light,1,1,1,normal,1,suburban,1,1,hazardous,1.2,1.2,0.7237,18,medium,shopping,28-05-2025 19:06
T007,diesel_car,private,38.28,41.1,55.8,191.4,Pune,Thursday,Monsoon,1.2,0.13,0.117,0.013,off_peak,1,moderate,1.1,1,1.1,normal,1,highway,0.9,1.1,very_poor,1.1,1.089,0.5961,36,medium,shopping,07-09-2025 19:06
T008,diesel_car,private,12.21,13.3,55.2,61.05,Bangalore,Tuesday,Winter,0.95,0.13,0.117,0.013,peak_morning,1.2,heavy,1.3,0.9,1.404,favorable,0.95,city_center,1.2,0.95,moderate,1,1.083,0.2414,31,high,commute,30-05-2025 19:06
T009,diesel_car,private,12.17,19,38.3,60.85,Mumbai,Wednesday,Winter,0.95,0.13,0.117,0.013,peak_evening,1.2,light,1,0.9,1.08,heavy_rain,1.2,suburban,1,1,moderate,1,1.2,0.205,30,high,commute,15-08-2025 19:06
T010,diesel_car,private,13.1,18,43.5,65.5,Hyderabad,Monday,Summer,1.1,0.13,0.117,0.013,off_peak,1,moderate,1.1,0.5,0.55,favorable,0.95,hilly,1.3,1,very_poor,1.1,1.358,0.1272,25,low,leisure,29-04-2025 19:06
